,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
"29,1630534,""Agbaji, Ochai"",Ochai Agbaji,1,2022,2023,ochai_agbaji,ochai_agbaji,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00"
"30,200772,""Ager, Maurice"",Maurice Ager,0,2006,2010,maurice_ager,maurice_ager,0,,,,,,Y,01"
"32,201336,""Ahearn, Blake"",Blake Ahearn,0,2007,2011,blake_ahearn,blake_ahearn,0,,,,,,Y,01"
"34,201582,""Ajinca, Alexis"",Alexis Ajinca,0,2008,2017,alexis_ajinca,alexis_ajinca,0,,,,,,Y,01"
"36,203006,""Akognon, Josh"",Josh Akognon,0,2012,2012,josh_akognon,josh_akognon,0,,,,,,Y,01"
"37,1629152,""Akoon-Purcell, DeVaughn"",DeVaughn Akoon-Purcell,0,2018,2018,devaughn_akoon-purcell,devaughn_akoon-purcell,0,,,,,,Y,01"
"38,202374,""Alabi, Solomon"",Solomon Alabi,0,2010,2011,solomon_alabi,solomon_alabi,0,,,,,,Y,01"
"41,1630583,""Aldama, Santi"",Santi Aldama,1,2021,2023,santi_aldama,santi_aldama,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,01"
"42,203128,""Aldemir, Furkan"",Furkan Aldemir,0,2014,2014,furkan_aldemir,furkan_aldemir,0,,,,,,Y,00"
"43,202332,""Aldrich, Cole"",Cole Aldrich,0,2010,2017,cole_aldrich,cole_aldrich,0,,,,,,Y,01"
"44,200746,""Aldridge, LaMarcus"",LaMarcus Aldridge,0,2006,2021,lamarcus_aldridge,lamarcus_aldridge,0,,,,,,Y,00"
"46,1626146,""Alexander, Cliff"",Cliff Alexander,0,2015,2015,cliff_alexander,cliff_alexander,0,,,,,,Y,01"
"47,724,""Alexander, Cory"",Cory Alexander,0,1995,2004,cory_alexander,cory_alexander,0,,,,,,Y,00"
"50,201570,""Alexander, Joe"",Joe Alexander,0,2008,2009,joe_alexander,joe_alexander,0,,,,,,Y,01"
"51,1629734,""Alexander, Kyle"",Kyle Alexander,0,2019,2019,kyle_alexander,kyle_alexander,0,,,,,,Y,01"
"52,1630234,""Alexander, Ty-Shon"",Ty-Shon Alexander,0,2020,2020,ty-shon_alexander,ty-shon_alexander,0,,,,,,Y,01"
"54,1629638,""Alexander-Walker, Nickeil"",Nickeil Alexander-Walker,1,2019,2023,nickeil_alexander-walker,nickeil_alexander-walker,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01"
"56,1628959,""Alkins, Rawle"",Rawle Alkins,0,2018,2018,rawle_alkins,rawle_alkins,0,,,,,,Y,01"
"58,1628960,""Allen, Grayson"",Grayson Allen,1,2018,2023,grayson_allen,grayson_allen,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01"
"59,1628386,""Allen, Jarrett"",Jarrett Allen,1,2017,2023,jarrett_allen,jarrett_allen,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,00"
"61,1628443,""Allen, Kadeem"",Kadeem Allen,0,2017,2019,kadeem_allen,kadeem_allen,0,,,,,,Y,01"
"62,202730,""Allen, Lavoy"",Lavoy Allen,0,2011,2016,lavoy_allen,lavoy_allen,0,,,,,,Y,01"
"64,2124,""Allen, Malik"",Malik Allen,0,2001,2010,malik_allen,malik_allen,0,,,,,,Y,00"
"66,951,""Allen, Ray"",Ray Allen,0,1996,2013,ray_allen,ray_allen,0,,,,,,Y,00"
"67,2754,""Allen, Tony"",Tony Allen,0,2004,2017,tony_allen,tony_allen,0,,,,,,Y,00"
"69,200984,""Allred, Lance"",Lance Allred,0,2007,2007,lance_allred,lance_allred,0,,,,,,Y,01"
"71,201165,""Almond, Morris"",Morris Almond,0,2007,2011,morris_almond,morris_almond,0,,,,,,Y,01"
"73,1747,""Alston, Rafer"",Rafer Alston,0,1999,2009,rafer_alston,rafer_alston,0,,,,,,Y,01"
"75,1630631,""Alvarado, Jose"",Jose Alvarado,1,2021,2023,jose_alvarado,jose_alvarado,1610612740,New Orleans,Pelicans,NOP,pelicans,pelicans,Y,00"
"78,202329,""Aminu, Al-Farouq"",Al-Farouq Aminu,0,2010,2020,al-farouq_aminu,al-farouq_aminu,0,,,,,,Y,00"
"79,200811,""Amundson, Lou"",Lou Amundson,0,2006,2015,lou_amundson,lou_amundson,0,,,,,,Y,01"
"81,2365,""Andersen, Chris"",Chris Andersen,0,2001,2016,chris_andersen,chris_andersen,0,,,,,,Y,00"
"82,2431,""Andersen, David"",David Andersen,0,2009,2010,david_andersen,david_andersen,0,,,,,,Y,00"
"83,101187,""Anderson, Alan"",Alan Anderson,0,2005,2016,alan_anderson,alan_anderson,0,,,,,,Y,01"
"84,202079,""Anderson, Antonio"",Antonio Anderson,0,2009,2009,antonio_anderson,antonio_anderson,0,,,,,,Y,01"
"87,1507,""Anderson, Derek"",Derek Anderson,0,1997,2007,derek_anderson,derek_anderson,0,,,,,,Y,00"
"91,202341,""Anderson, James"",James Anderson,0,2010,2015,james_anderson,james_anderson,0,,,,,,Y,01"
"93,1626147,""Anderson, Justin"",Justin Anderson,0,2015,2021,justin_anderson,justin_anderson,0,,,,,,Y,01"
"94,72,""Anderson, Kenny"",Kenny Anderson,0,1991,2004,kenny_anderson,kenny_anderson,0,,,,,,Y,00"
"96,203937,""Anderson, Kyle"",Kyle Anderson,1,2014,2023,kyle_anderson,kyle_anderson,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01"
"102,201583,""Anderson, Ryan"",Ryan Anderson,0,2008,2019,ryan_anderson,ryan_anderson,0,,,,,,Y,00"
"103,1000,""Anderson, Shandon"",Shandon Anderson,0,1996,2005,shandon_anderson,shandon_anderson,0,,,,,,Y,00"
"106,101149,""Andriuskevicius, Martynas"",Martynas Andriuskevicius,0,2005,2006,martynas_andriuskevicius,martynas_andriuskevicius,0,,,,,,Y,01"
"108,1628387,""Anigbogu, Ike"",Ike Anigbogu,0,2017,2018,ike_anigbogu,ike_anigbogu,0,,,,,,Y,11"
"111,203507,""Antetokounmpo, Giannis"",Giannis Antetokounmpo,1,2013,2023,giannis_antetokounmpo,giannis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,00"
"112,1628961,""Antetokounmpo, Kostas"",Kostas Antetokounmpo,0,2018,2020,kostas_antetokounmpo,kostas_antetokounmpo,0,,,,,,Y,01"
"113,203648,""Antetokounmpo, Thanasis"",Thanasis Antetokounmpo,1,2015,2023,thanasis_antetokounmpo,thanasis_antetokounmpo,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01"
"114,2546,""Anthony, Carmelo"",Carmelo Anthony,0,2003,2021,carmelo_anthony,carmelo_anthony,0,,,,,,Y,00"
"115,1630175,""Anthony, Cole"",Cole Anthony,1,2020,2023,cole_anthony,cole_anthony,1610612753,Orlando,Magic,ORL,magic,magic,Y,00"
"117,201202,""Anthony, Joel"",Joel Anthony,0,2007,2016,joel_anthony,joel_anthony,0,,,,,,Y,01"
"118,203544,""Antic, Pero"",Pero Antic,0,2013,2014,pero_antic,pero_antic,0,,,,,,Y,00"
"119,1628384,""Anunoby, OG"",OG Anunoby,1,2017,2023,og_anunoby,og_anunoby,1610612752,New York,Knicks,NYK,knicks,knicks,Y,00"
"120,203951,""Appling, Keith"",Keith Appling,0,2015,2015,keith_appling,keith_appling,0,,,,,,Y,01"
"121,2737,""Araujo, Rafael"",Rafael Araujo,0,2004,2006,rafael_araujo,rafael_araujo,0,,,,,,Y,00"
"125,1627853,""Arcidiacono, Ryan"",Ryan Arcidiacono,1,2017,2023,ryan_arcidiacono,ryan_arcidiacono,1610612752,New York,Knicks,NYK,knicks,knicks,Y,01"
"127,2240,""Arenas, Gilbert"",Gilbert Arenas,0,2001,2011,gilbert_arenas,gilbert_arenas,0,,,,,,Y,00"
"128,2772,""Ariza, Trevor"",Trevor Ariza,0,2004,2021,trevor_ariza,trevor_ariza,0,,,,,,Y,00"
"134,353,""Armstrong, Darrell"",Darrell Armstrong,0,1994,2007,darrell_armstrong,darrell_armstrong,0,,,,,,Y,00"
"135,200756,""Armstrong, Hilton"",Hilton Armstrong,0,2006,2013,hilton_armstrong,hilton_armstrong,0,,,,,,Y,01"
"141,2306,""Arroyo, Carlos"",Carlos Arroyo,0,2001,2010,carlos_arroyo,carlos_arroyo,0,,,,,,Y,00"
"142,201589,""Arthur, Darrell"",Darrell Arthur,0,2008,2017,darrell_arthur,darrell_arthur,0,,,,,,Y,00"
"144,1628503,""Artis, Jamel"",Jamel Artis,0,2017,2017,jamel_artis,jamel_artis,0,,,,,,Y,01"
"145,201600,""Asik, Omer"",Omer Asik,0,2010,2017,omer_asik,omer_asik,0,,,,,,Y,00"
"150,1088,""Atkins, Chucky"",Chucky Atkins,0,1999,2009,chucky_atkins,chucky_atkins,0,,,,,,Y,00"
"153,278,""Augmon, Stacey"",Stacey Augmon,0,1991,2005,stacey_augmon,stacey_augmon,0,,,,,,Y,00"
"154,201571,""Augustin, D.J."",D.J. Augustin,0,2008,2022,d.j._augustin,dj_augustin,0,,,,,,Y,00"
"155,200788,""Augustine, James"",James Augustine,0,2006,2007,james_augustine,james_augustine,0,,,,,,Y,01"
"159,1630166,""Avdija, Deni"",Deni Avdija,1,2020,2023,deni_avdija,deni_avdija,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00"
"164,1630555,""Ayayi, Joel"",Joel Ayayi,0,2021,2021,joel_ayayi,joel_ayayi,0,,,,,,Y,01"
"165,202970,""Ayon, Gustavo"",Gustavo Ayon,0,2011,2013,gustavo_ayon,gustavo_ayon,0,,,,,,Y,00"
"166,201965,""Ayres, Jeff"",Jeff Ayres,0,2009,2015,jeff_ayres,jeff_ayres,0,,,,,,Y,01"
"167,1629028,""Ayton, Deandre"",Deandre Ayton,1,2018,2023,deandre_ayton,deandre_ayton,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,00"
"168,101235,""Azubuike, Kelenna"",Kelenna Azubuike,0,2006,2011,kelenna_azubuike,kelenna_azubuike,0,,,,,,Y,00"
"169,1628962,""Azubuike, Udoka"",Udoka Azubuike,1,2020,2023,udoka_azubuike,udoka_azubuike,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01"
"170,203569,""Babb, Chris"",Chris Babb,0,2013,2014,chris_babb,chris_babb,0,,,,,,Y,01"
"171,202337,""Babbitt, Luke"",Luke Babbitt,0,2010,2017,luke_babbitt,luke_babbitt,0,,,,,,Y,01"
"174,1628407,""Bacon, Dwayne"",Dwayne Bacon,0,2017,2020,dwayne_bacon,dwayne_bacon,0,,,,,,Y,01"
"175,1630641,""Badji, Ibou"",Ibou Badji,1,2022,2023,ibou_badji,ibou_badji,1610612757,Portland,Trail Blazers,POR,blazers,blazers,Y,00"
"179,1628963,""Bagley III, Marvin"",Marvin Bagley III,1,2018,2023,marvin_bagley_iii,marvin_bagley_iii,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00"
"180,1641735,""Bailey, Amari"",Amari Bailey,1,2023,2023,amari_bailey,amari_bailey,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,11"
"186,203946,""Bairstow, Cameron"",Cameron Bairstow,0,2014,2015,cameron_bairstow,cameron_bairstow,0,,,,,,Y,01"
"188,2486,""Baker, Maurice"",Maurice Baker,0,2002,2004,maurice_baker,maurice_baker,0,,,,,,Y,01"
"190,1627758,""Baker, Ron"",Ron Baker,0,2016,2018,ron_baker,ron_baker,0,,,,,,Y,01"
"191,452,""Baker, Vin"",Vin Baker,0,1993,2005,vin_baker,vin_baker,0,,,,,,Y,00"
"192,1627735,""Baldwin IV, Wade"",Wade Baldwin IV,0,2016,2018,wade_baldwin iv,wade_baldwin_iv,0,,,,,,Y,01"
"193,1631116,""Baldwin Jr., Patrick"",Patrick Baldwin Jr.,1,2022,2023,patrick_baldwin_jr,patrick_baldwin_jr,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,11"
"194,200764,""Balkman, Renaldo"",Renaldo Balkman,0,2006,2011,renaldo_balkman,renaldo_balkman,0,,,,,,Y,01"
"196,1630163,""Ball, LaMelo"",LaMelo Ball,1,2020,2023,lamelo_ball,lamelo_ball,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,00"
"197,1628366,""Ball, Lonzo"",Lonzo Ball,1,2017,2023,lonzo_ball,lonzo_ball,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,00"
"200,1628964,""Bamba, Mo"",Mo Bamba,1,2018,2023,mohamed_bamba,mo_bamba,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00"
"201,1631094,""Banchero, Paolo"",Paolo Banchero,1,2022,2023,paolo_banchero,paolo_banchero,1610612753,Orlando,Magic,ORL,magic,magic,Y,00"
"202,1630217,""Bane, Desmond"",Desmond Bane,1,2020,2023,desmond_bane,desmond_bane,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,00"
"204,2556,""Banks, Marcus"",Marcus Banks,0,2003,2010,marcus_banks,marcus_banks,0,,,,,,Y,01"
"207,1630625,""Banton, Dalano"",Dalano Banton,1,2021,2023,dalano_banton,dalano_banton,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,11"
"208,1627760,""Barber, Cat"",Cat Barber,0,2021,2021,cat_barber,cat_barber,0,,,,,,Y,01"
"210,2571,""Barbosa, Leandro"",Leandro Barbosa,0,2003,2016,leandro_barbosa,leandro_barbosa,0,,,,,,Y,00"
"212,200826,""Barea, J.J."",J.J. Barea,0,2006,2019,j.j._barea,jj_barea,0,,,,,,Y,01"
"213,200745,""Bargnani, Andrea"",Andrea Bargnani,0,2006,2015,andrea_bargnani,andrea_bargnani,0,,,,,,Y,00"
"219,1631230,""Barlow, Dominick"",Dominick Barlow,1,2022,2023,dominick_barlow,dominick_barlow,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,11"
"220,203084,""Barnes, Harrison"",Harrison Barnes,1,2012,2023,harrison_barnes,harrison_barnes,1610612758,Sacramento,Kings,SAC,kings,kings,Y,00"
"224,2440,""Barnes, Matt"",Matt Barnes,0,2002,2016,matt_barnes,matt_barnes,0,,,,,,Y,00"
"225,1630567,""Barnes, Scottie"",Scottie Barnes,1,2021,2023,scottie_barnes,scottie_barnes,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00"
"234,2857,""Barrett, Andre"",Andre Barrett,0,2004,2007,andre_barrett,andre_barrett,0,,,,,,Y,01"
"236,1629628,""Barrett, RJ"",RJ Barrett,1,2019,2023,rj_barrett,rj_barrett,1610612761,Toronto,Raptors,TOR,raptors,raptors,Y,00"
"237,2853,""Barron, Earl"",Earl Barron,0,2005,2014,earl_barron,earl_barron,0,,,,,,Y,01"
"239,699,""Barry, Brent"",Brent Barry,0,1995,2008,brent_barry,brent_barry,0,,,,,,Y,00"
"241,468,""Barry, Jon"",Jon Barry,0,1992,2005,jon_barry,jon_barry,0,,,,,,Y,00"
"245,203115,""Barton, Will"",Will Barton,0,2012,2022,will_barton,will_barton,0,,,,,,Y,01"
"246,101188,""Basden, Eddie"",Eddie Basden,0,2005,2005,eddie_basden,eddie_basden,0,,,,,,Y,01"
"248,101138,""Bass, Brandon"",Brandon Bass,0,2005,2016,brandon_bass,brandon_bass,0,,,,,,Y,01"
"249,1628238,""Bass, Paris"",Paris Bass,0,2021,2021,paris_bass,paris_bass,0,,,,,,Y,01"
"251,1629646,""Bassey, Charles"",Charles Bassey,1,2021,2023,charles_bassey,charles_bassey,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,01"
"252,1766,""Baston, Maceo"",Maceo Baston,0,2002,2008,maceo_baston,maceo_baston,0,,,,,,Y,00"
"255,1641734,""Bates, Emoni"",Emoni Bates,1,2023,2023,emoni_bates,emoni_bates,1610612739,Cleveland,Cavaliers,CLE,cavaliers,cavaliers,Y,11"
"256,1628966,""Bates-Diop, Keita"",Keita Bates-Diop,1,2018,2023,keita_bates-diop,keita_bates-diop,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01"
"257,101212,""Batista, Esteban"",Esteban Batista,0,2005,2006,esteban_batista,esteban_batista,0,,,,,,Y,00"
"259,1499,""Battie, Tony"",Tony Battie,0,1997,2011,tony_battie,tony_battie,0,,,,,,Y,00"
"260,2203,""Battier, Shane"",Shane Battier,0,2001,2013,shane_battier,shane_battier,0,,,,,,Y,00"
"264,201587,""Batum, Nicolas"",Nicolas Batum,1,2008,2023,nicolas_batum,nicolas_batum,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,00"
"267,2437,""Baxter, Lonny"",Lonny Baxter,0,2002,2005,lonny_baxter,lonny_baxter,0,,,,,,Y,00"
"268,201573,""Bayless, Jerryd"",Jerryd Bayless,0,2008,2018,jerryd_bayless,jerryd_bayless,0,,,,,,Y,00"
"270,203382,""Baynes, Aron"",Aron Baynes,0,2012,2020,aron_baynes,aron_baynes,0,,,,,,Y,01"
"272,203145,""Bazemore, Kent"",Kent Bazemore,0,2012,2021,kent_bazemore,kent_bazemore,0,,,,,,Y,11"
"273,1629647,""Bazley, Darius"",Darius Bazley,0,2019,2022,darius_bazley,darius_bazley,0,,,,,,Y,11"
"275,203078,""Beal, Bradley"",Bradley Beal,1,2012,2023,bradley_beal,bradley_beal,1610612756,Phoenix,Suns,PHX,suns,suns,Y,00"
"279,1627736,""Beasley, Malik"",Malik Beasley,1,2016,2023,malik_beasley,malik_beasley,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01"
"280,201563,""Beasley, Michael"",Michael Beasley,0,2008,2018,michael_beasley,michael_beasley,0,,,,,,Y,00"
"282,201958,""Beaubois, Rodrigue"",Rodrigue Beaubois,0,2009,2012,rodrigue_beaubois,rodrigue_beaubois,0,,,,,,Y,00"
"283,1630699,""Beauchamp, MarJon"",MarJon Beauchamp,1,2022,2023,marjon_beauchamp,marjon_beauchamp,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,11"
"292,201158,""Belinelli, Marco"",Marco Belinelli,0,2007,2019,marco_belinelli,marco_belinelli,0,,,,,,Y,00"
"293,2294,""Bell, Charlie"",Charlie Bell,0,2001,2010,charlie_bell,charlie_bell,0,,,,,,Y,00"
"295,1628395,""Bell, Jordan"",Jordan Bell,0,2017,2021,jordan_bell,jordan_bell,0,,,,,,Y,11"
"296,1952,""Bell, Raja"",Raja Bell,0,2000,2011,raja_bell,raja_bell,0,,,,,,Y,00"
"300,1627761,""Bembry, DeAndre'"",DeAndre' Bembry,0,2016,2021,deandre'_bembry,deandre_bembry,0,,,,,,Y,01"
"303,1627733,""Bender, Dragan"",Dragan Bender,0,2016,2019,dragan_bender,dragan_bender,0,,,,,,Y,01"
"304,1886,""Bender, Jonathan"",Jonathan Bender,0,1999,2009,jonathan_bender,jonathan_bender,0,,,,,,Y,00"
"305,203968,""Benimon, Jerrelle"",Jerrelle Benimon,0,2014,2014,jerrelle_benimon,jerrelle_benimon,0,,,,,,Y,01"
"308,203461,""Bennett, Anthony"",Anthony Bennett,0,2013,2016,anthony_bennett,anthony_bennett,0,,,,,,Y,01"
"315,202728,""Benson, Keith"",Keith Benson,0,2011,2011,keith_benson,keith_benson,0,,,,,,Y,01"
"317,1627791,""Bentil, Ben"",Ben Bentil,0,2016,2016,ben_bentil,ben_bentil,0,,,,,,Y,01"
"320,1631262,""Bernard, Jules"",Jules Bernard,1,2023,2023,jules_bernard,jules_bernard,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,11"
"323,1629541,""Bertans, Dairis"",Dairis Bertans,0,2018,2018,tmp_dairis_bertans,dairis_bertans,0,,,,,,Y,00"
"324,202722,""Bertans, Davis"",Davis Bertans,1,2016,2023,davis_bertans,davis_bertans,1610612760,Oklahoma City,Thunder,OKC,thunder,thunder,Y,01"
"326,696,""Best, Travis"",Travis Best,0,1995,2004,travis_best,travis_best,0,,,,,,Y,00"
"327,201976,""Beverley, Patrick"",Patrick Beverley,1,2012,2023,patrick_beverley,patrick_beverley,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,01"
"328,1630180,""Bey, Saddiq"",Saddiq Bey,1,2020,2023,saddiq_bey,saddiq_bey,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,00"
"329,1630189,""Bey, Tyler"",Tyler Bey,0,2020,2020,tyler_bey,tyler_bey,0,,,,,,Y,01"
"330,204021,""Bhullar, Sim"",Sim Bhullar,0,2014,2014,sim_bhullar,sim_bhullar,0,,,,,,Y,01"
"334,1710,""Bibby, Mike"",Mike Bibby,0,1998,2011,mike_bibby,mike_bibby,0,,,,,,Y,00"
"336,2740,""Biedrins, Andris"",Andris Biedrins,0,2004,2013,andris_biedrins,andris_biedrins,0,,,,,,Y,00"
"339,1497,""Billups, Chauncey"",Chauncey Billups,0,1997,2013,chauncey_billups,chauncey_billups,0,,,,,,Y,00"
"342,203920,""Birch, Khem"",Khem Birch,0,2017,2022,khem_birch,khem_birch,0,,,,,,Y,01"
"343,1628444,""Bird, Jabari"",Jabari Bird,0,2017,2017,jabari_bird,jabari_bird,0,,,,,,Y,01"
"348,1629048,""Bitadze, Goga"",Goga Bitadze,1,2019,2023,goga_bitadze,goga_bitadze,1610612753,Orlando,Magic,ORL,magic,magic,Y,01"
"349,1641931,""Bitim, Onuralp"",Onuralp Bitim,1,2023,2023,onuralp_bitim,onuralp_bitim,1610612741,Chicago,Bulls,CHI,bulls,bulls,Y,11"
"350,202687,""Biyombo, Bismack"",Bismack Biyombo,0,2011,2023,bismack_biyombo,bismack_biyombo,0,,,,,,Y,00"
"351,202357,""Bjelica, Nemanja"",Nemanja Bjelica,0,2015,2021,nemanja_bjelica,nemanja_bjelica,0,,,,,,Y,00"
"353,1641710,""Black, Anthony"",Anthony Black,1,2023,2023,anthony_black,anthony_black,1610612753,Orlando,Magic,ORL,magic,magic,Y,00"
"355,1641778,""Black, Leaky"",Leaky Black,1,2023,2023,leaky_black,leaky_black,1610612766,Charlotte,Hornets,CHA,hornets,hornets,Y,11"
"357,204028,""Black, Tarik"",Tarik Black,0,2014,2017,tarik_black,tarik_black,0,,,,,,Y,01"
"364,201971,""Blair, DeJuan"",DeJuan Blair,0,2009,2015,dejuan_blair,dejuan_blair,0,,,,,,Y,01"
"365,2581,""Blake, Steve"",Steve Blake,0,2003,2015,steve_blake,steve_blake,0,,,,,,Y,00"
"366,202392,""Blakely, Marqus"",Marqus Blakely,0,2010,2010,marqus_blakely,marqus_blakely,0,,,,,,Y,01"
"367,1628469,""Blakeney, Antonio"",Antonio Blakeney,0,2017,2018,antonio_blakeney,antonio_blakeney,0,,,,,,Y,01"
"368,200807,""Blalock, Will"",Will Blalock,0,2006,2006,will_blalock,will_blalock,0,,,,,,Y,01"
"372,101154,""Blatche, Andray"",Andray Blatche,0,2005,2013,andray_blatche,andray_blatche,0,,,,,,Y,01"
"374,202339,""Bledsoe, Eric"",Eric Bledsoe,0,2010,2021,eric_bledsoe,eric_bledsoe,0,,,,,,Y,01"
"375,1629833,""Blevins, Keljin"",Keljin Blevins,0,2020,2021,keljin_blevins,keljin_blevins,0,,,,,,Y,01"
"379,1628417,""Blossomgame, Jaron"",Jaron Blossomgame,0,2018,2018,jaron_blossomgame,jaron_blossomgame,0,,,,,,Y,01"
"381,1548,""Blount, Mark"",Mark Blount,0,2000,2008,mark_blount,mark_blount,0,,,,,,Y,00"
"382,203505,""Blue, Vander"",Vander Blue,0,2013,2017,vander_blue,vander_blue,0,,,,,,Y,01"
"383,1629129,""Bluiett, Trevon"",Trevon Bluiett,0,2018,2018,trevon_bluiett,trevon_bluiett,0,,,,,,Y,01"
"386,2800,""Bobbitt, Tony"",Tony Bobbitt,0,2004,2004,tony_bobbitt,tony_bobbitt,0,,,,,,Y,01"
"388,1631205,""Boeheim, Buddy"",Buddy Boeheim,0,2022,2022,buddy_boheim,buddy_boeheim,0,,,,,,Y,11"
"390,2586,""Bogans, Keith"",Keith Bogans,0,2003,2013,keith_bogans,keith_bogans,0,,,,,,Y,01"
"391,203992,""Bogdanovic, Bogdan"",Bogdan Bogdanovic,1,2017,2023,bogdan_bogdanovic,bogdan_bogdanovic,1610612737,Atlanta,Hawks,ATL,hawks,hawks,Y,00"
"392,202711,""Bogdanovic, Bojan"",Bojan Bogdanovic,1,2014,2023,bojan_bogdanovic,bojan_bogdanovic,1610612765,Detroit,Pistons,DET,pistons,pistons,Y,00"
"394,101106,""Bogut, Andrew"",Andrew Bogut,0,2005,2018,andrew_bogut,andrew_bogut,0,,,,,,Y,00"
"396,1629626,""Bol, Bol"",Bol Bol,1,2019,2023,bol_bol,bol_bol,1610612756,Phoenix,Suns,PHX,suns,suns,Y,01"
"398,1628413,""Bolden, Jonah"",Jonah Bolden,0,2018,2019,jonah_bolden,jonah_bolden,0,,,,,,Y,01"
"399,1629716,""Bolden, Marques"",Marques Bolden,0,2019,2023,marques_bolden,marques_bolden,0,,,,,,Y,11"
"401,1630195,""Bolmaro, Leandro"",Leandro Bolmaro,0,2021,2022,leandro_bolmaro,leandro_bolmaro,0,,,,,,Y,01"
"402,1627762,""Bolomboy, Joel"",Joel Bolomboy,0,2016,2017,joel_bolomboy,joel_bolomboy,0,,,,,,Y,01"
"407,1629648,""Bone, Jordan"",Jordan Bone,0,2019,2020,jordan_bone,jordan_bone,0,,,,,,Y,01"
